//midi(Decimal)	midiname	fingerprint
50	SynthStrings 1	8146978088c30bd6671be80be5c4f651
51	SynthStrings 2	4bd74ec8153ef8f70e1411799d100092
52	Chor (Stimme-Ar)	bd57ac7b99e292e414ff37bcff02945b
56	Trompete	bbf16ee1ea5faac20d4f8f60b5d91630
57	Posaune	71549ac056cfc9102ba0a9bb41ab2117
60	Französisches Horn	5a264a8dfcb95b7a571946c47c6dd13b
61	Blechblasinstrument · Ensemble	d939e17521de4b6a9c3052cdfd4d43f6
62	SynthBrass 1	f6924b2dcb58611f1fe14b3aa22ad9b9
63	SynthBrass 2	4712742ad714b27b325da7b2d5c03709
67	Baritonsaxophon	557406e079f654703099cddb3f0e3cd9
68	Oboe	204c50e26ab74a4106064f3a7b8d7d0b
69	Englisch Horn	27d759ce3bb0a879589d41cc38586711
70	Fagott	5fb13bd51e85aabc808333fd6fa98672
71	Klarinette	a10f4070ec98db0cf41a4066c6202d1c
73	Flöte	93ab6109caa7ebe421f734428022d68a
74	Recorder	60e8e2907be97c1ac1d59e8272f3eb80
75	Pan · Flöte	986178240849e1ebe3ef4e3a3c96b5ce
77	Shakuhachi	f64047ae222d1a9ca869c8b3a8f12af0
78	Pfeife	28e51daa98b6a72598e63b220fa834f0
79	Okarina	ddf146e601527cc167ad94d831ea5fea
80	Führen1Rechteckige Welle	65a77c19add1ea576a95e5a8c83e2e8f
81	Führen2Sägezahnwelle	2bd8613eb9a972d50600ea12cdc3720d
85	Lead 6 voice	5738c883814317fd61ff9b5344edb7cc
90	Pad3Polysynse	8c17edf46744c5d550f4ffd737a827cc
91	Pad4Menschliche Stimme	390b702215e67c645f1084742a7f6357
92	Pad 5 bowed	f404f492272a074f767e1131bc7ae16c
93	Pad6Metallisch	f9af78284210d1a68b90ce9a098b4cd5
94	Pad 7 halo	e8dc20b35d53265a3e5c3dad38d2d80f
98	FX4Atmosphäre	f5f8fca242c8b75416839ebcee1af39e
100	FX5Helligkeit	5fc76ec07915281c30b9869f295ee879
101	FX6Kobold	f6c871b1bfe10027d05fe57ed298dfe2
102	FX7Echo	ae7f14b455ff0bd2eae8e7bbc34a7fdd
103	FX 8 SF	3321d6e81218d794498a513f9209528c
104	Sitar	61463dac52c507fe37d0b5cdb19cb8d5
105	Banjo	e231a7352240fe1de3c63be3049f618d
106	Shamisen	02a2f8f0d212959f0a62f541dc46b367
107	Eine Harfe	a24d2c58f1c8b79e578a7d6c5fe9af40
108	Kalimba	dfbcf58942e9438ce419b19178b182fe
109	Bug · Pfeife	56d083a36236de695c9ff56f711bc5b6
110	Geige	509d40d6abbe772730caea2c4a088001
111	Shanai	37d1ae2ab123a18bbc1e04c243ee4922
118	Synth Trommel	1df8222fec12ec6e76cb320bf2646197
119	Reverse Becken	2614e9bcf9ec3497a612bc9896e66cb5
126	Beifall	340e795dfbe01f3b333cd0c727f70de6

//Nimap FE7
0	Flügel	2881652e65be3e396bddbf13f7ac9c11
1	Aufrechtes Klavier	55a04d87eec72aabe06d262a5130b6c9
2	Elektrisch · Flügel	c916e3ddd6325700b18218f67ff9a3d1
3	Honky · Tonk · Klavier	13e9549e65c170126d746141ef90fd1f
4	Elektrisch · Piano 2 (DX-Serie)	366171f6838df15a872ab2466aa54a10
5	Elektrisch · Klavier 2 (Rhodes-Typ)	bb864017a89a764b79547a0d7f5a7241
6	Cembalo (Cembalo)	ed470adfbfe522eb3100ffa768fb07e7
7	Krabi-Code	304f3a766d942ab3a9675c6deb19ecc7
8	Celesta	3c22094e011cd3d252b5b9da8ebbb32b
9	Glockenspiel	b5e2f3e33a8e8efbe45eeae7d4b7c4b7
10	Spieluhr	1d7e32e54b863df5899a5c4c74b1ef22
11	Vibraphon	de98ebbc8f57c7a250ddd309ea8cb30f
12	Marimba	0d27ecd209dbc1af383c1fa63468c2ae
13	Xylophon	0e021a49d5ef328b6a63dc7997f32b98
14	Tubenetikett	74efbf0bfdb870fd823c55483588ec50
15	Hackbrett	2b44f3652084e3af1e8ed32810076844
16	Elektrisches Organ (Deichsel)	10be4e00f61e49391e01f85bf6fbe443
17	Elektrisches Organ (perkussiv)	2b8105ab1cecc9857ee2602ffa97eeac
18	Elektrisches Organ (Schloss)	ce6ad7fba9ca534e08a9186304f82cff
19	Kirchenorgel	e84b7ac7f10222e5688ce314ede33c7b
20	Leitorgan	10be4e00f61e49391e01f85bf6fbe443
21	Akkordeon	a92c2dac15ec86e177bc8c2119b62e74
22	Mundharmonika	fd4df8f733864726f9a05e0dc4288a51
23	Tango Akkordeon	32fd0b331547ab2e44b52338abf8b46d
27	E-Gitarre (sauber)	331a4a2fa0139d4b871ac26c03cefdb0
28	E-Gitarre (stumm)	94fabcebcf9da6c6a54bdd86a5cc80f7
29	E-Gitarre (Overdrive)	1101396773f19a1743b797de7738ca61
30	E-Gitarre (Verzerrung)	2192058c4c8b43769a42c7b12d7e7a10
31	Gitarre · Resonanz (Oberton)	89306485bfda500ae1ed89f1b6c29872
32	Rohbasis (Holzbasis)	84f83ec9f6b2a8fbbdaadec0130836be
33	E-Bass (Finger)	169dc8763a2b46da5e5140026cb6f8d4
34	E-Bass (Pick)	a4bdd86816c77318a24f5d089db9c9af
36	Slap Bassgitarre 1	7b1091971f8a4590a41b526bfcf44e48
38	Synth · Basis 1	e66a350e9c699bebaad3da1c0a24274e
39	Synth · Basis 2	044c4645ec33f93db5b9dd8ef1176e9c
40	Violine (Boeing)	5982fbcd78893e405089f4b8c56e40b2
41	Viola (Boeing)	325dd5ad1c398073e6377f33c86abca3
42	Cello (Boeing)	77838145d87e26da3014ce8bc38e930d
43	Kontrabass (Boeing)	93f2a8908412a281dea8832c4b433382
44	Tremolosaiten	cc8f31e6e63a4e0535b3a854a7ae7bc5
45	String Pitchwagen	03958adeca03b30c1da34d8d216cbc32
46	Orchester · Harfe	bfdf6ac8c6295b9b12fd5c8a742996ce
47	Pauke	d706e91974f3dd737838276df3445fb5
48	Instrumente für Streichinstrumente 1	8d7501f6e316afa5038152e160afb408
49	Instrumente für Bogensaiteninstrumente 2	4bd74ec8153ef8f70e1411799d100092
50	SynthStrings 1	8146978088c30bd6671be80be5c4f651
51	SynthStrings 2	4bd74ec8153ef8f70e1411799d100092
52	Chor (Stimme-Ar)	ee88cadcbd2dab1ef7dd910d7af119b0
53	Menschliche Stimme (Stimme · wu)	981bda578787f5ca5dfcf224b00bb595
54	Synthetische menschliche Stimme	7a6b6b4b00f11873b9774758cde866a0
55	Orchester · Hit	825e04f6bbd512813df4232e52d1ff7d
56	Trompete	36c88eeea8859d45f391d0266261d18d
57	Posaune	71549ac056cfc9102ba0a9bb41ab2117
58	Tuba	067a6be49ba32b7200dd17bd8e1431f2
59	Mit einem Schalldämpfer · Trompete	ad05037d7b88d123912df24d560b756b
60	Französisches Horn	cdec906bdb678f37c0bcd908d247edfc
61	Blechblasinstrument · Ensemble	d939e17521de4b6a9c3052cdfd4d43f6
62	SynthBrass 1	31432d582acf3fae6bdcc53f7fc1547a
63	SynthBrass 2	4712742ad714b27b325da7b2d5c03709
67	Baritonsaxophon	c5b1f5be2a3f3a6ef097932b7d3bbf7f
68	Oboe	204c50e26ab74a4106064f3a7b8d7d0b
69	Englisch Horn	27d759ce3bb0a879589d41cc38586711
70	Fagott	1e86e6ea800572fbe5cd97cba0c6a993
71	Klarinette	4228609ba5802ad54a563a6a1db70d6a
72	Piccolo	2ac53a0f0131d9ee32c04d0f29a2e815
73	Flöte	93ab6109caa7ebe421f734428022d68a
74	Recorder	e95203484bb847f918448ec678f1e5b8
75	Pan · Flöte	3d98ab759cf4c57e0687b96a8e13aaf6
76	Sound weht in die Flasche	151217b159751b130c40a609da8152f8
78	Pfeife	28e51daa98b6a72598e63b220fa834f0
79	Okarina	a41410ccc75a173468aa0bc81d2227b0
80	Führen1Rechteckige Welle	219c3906cfabc1521e95aa6a3ad87db1
81	Führen2Sägezahnwelle	2bd8613eb9a972d50600ea12cdc3720d
85	Lead 6 voice	ea6b37de45f6ef55d6c6638f0fbaa5bb
87	Synth · Solo Timbre 8 (Basis + Lead)	46f8809a81e082d28b470d720a4fd460
88	Synth · polyphoner Klang 1 (neuAlter)	518f0175a7fb9fd878aec285700fb9b6
89	Synth · polyphoner Klang 2 (warm)	df1250d644559c5fc00978b350cd7204
90	Pad3Polysynse	390b702215e67c645f1084742a7f6357
91	Pad4Menschliche Stimme	f404f492272a074f767e1131bc7ae16c
92	Pad 5 bowed	f9af78284210d1a68b90ce9a098b4cd5
93	Pad6Metallisch	e8dc20b35d53265a3e5c3dad38d2d80f
94	Pad 7 halo	3c7a244a97a0b6f5cd344ab2ec022d48
95	Synth · polyphoner Klang 7 (Halo)	29af6f16b13d065f323c21051312cfd5
97	Synth · polyphoner Klang 8 (Sweep)	bf80dee98011d2e1004c3300360afacc
98	Synth · Effektsound 3 (Kristall)	d7fe2352f2796d6dcbce7d41001e1ad3
99	Synth · Effektklang 4 (Atmosphäre)	5fc76ec07915281c30b9869f295ee879
100	FX5Helligkeit	4f3a44fcedcb179508abe7c89e03d659
101	FX6Kobold	ae7f14b455ff0bd2eae8e7bbc34a7fdd
102	FX7Echo	3321d6e81218d794498a513f9209528c
103	FX 8 SF	61463dac52c507fe37d0b5cdb19cb8d5
104	Sitar	40f09e1acefb13d3fcc3d0aee0c40307
105	Banjo	29fc613e4a41bc446b10643c92071982
106	Shamisen	c6716527b38d879b58fda44905300992
107	Eine Harfe	dfbcf58942e9438ce419b19178b182fe
108	Kalimba	1a6d32e31e8f97635f56e6c9795a067d
109	Bug · Pfeife	509d40d6abbe772730caea2c4a088001
110	Geige	c87bf24e52707a268c7bca57d6da0d33
126	Beifall	340e795dfbe01f3b333cd0c727f70de6

//Nimap FE6
0	Rohes Klavier	082a0772e82673eb6e28e49dc5c8dd25
1	Helles rohes Klavier	c7c3fc3dcf9031f107637a3a37d7cb9e
2	Elektrisch · Flügel	3c8341d3c7e12e9a6407fe67695b404b
3	Honky · Tonk · Klavier	aaf1896d788baa6a3eb965edc2f3a668
4	Elektrisch · Klavier 1 (DX-Serie)	9b5c419ad1181f723f6ff3aff304702e
5	Elektrisch · Klavier 2 (Rhodes-Typ)	1f132a0a29b00ab1bbe37f2ba6e24b2d
6	Cembalo (Cembalo)	103222b87baefd82c3fe0ceb528bda13
7	Krabi-Code	4f2145561a19b2281ac11761b1aaf9fd
8	Celesta	eb8e3e35cf33a0b814edeaef47ae2ac3
9	Glockenspiel	6ca53d9d362855aeb3002ff08ad13775
10	Spieluhr	3a5b22d53d8cc2602c4ce6bad10abe84
11	Vibraphon	4876ff210659fc63fa3d2aab24efba22
12	Marimba	1f7bc77f1dda38c0ccc2f726b630c55f
13	Xylophon	2b52e2e45b01366ea607e1243cbf0349
14	Tubenetikett	dad94c956314497ea3b17ee7739dc01f
15	Hackbrett	a51f0319d0cc5678e6bc245e94844edc
16	Elektrisches Organ (Deichsel)	7302ba9c4a529d16d21745abc93f9320
17	Elektrisches Organ (perkussiv)	be9bcbe0f3999e3f3de479ff6a849f46
18	Elektrisches Organ (Schloss)	1580b369ea833d77e53343fcdd62b1eb
19	Rohes Kirchenorgel	fcfeaa753672b5505414fb34c5a4b393
20	Rohes Leitorgan	50980733fb9194f5ab36e1df44d16579
21	Akkordeon	43fe966fc7a48344a36493a72c0027d9
22	Mundharmonika	8b383ae2e4c9afe3fcb1bd48e8079228
24	Rohgitarre (Nylon)	90418e2b807117e795311b3d4a650571
25	Rohgitarre (Stahl)	4164f8b2cd7552030900796750cf1cfb
27	E-Gitarre (sauber)	8500e36f079e3a630598c346a85440ff
28	E-Gitarre (stumm)	77843f643ca42eedae47da07856f5cc9
29	E-Gitarre (Overdrive)	7ef1d0f14bcfa8350d7a67729cd93949
30	E-Gitarre (Verzerrung)	5af7fa496dfe8d4a37ce58eb2f492d26
33	E-Bass (Finger)	7641f588b6ddb9a3ba79dac00b409465
34	E-Bass (Pick)	fb61b6aa95379b292c4574bf785b5e93
36	Slap Bassgitarre 1	bf855fb34c1ea8491cc4f869f3897412
40	Violine (Boeing)	082e719bf045861b9fbd9faba8ccfc85
41	Viola (Boeing)	65c91a5926a59c20238dab0e833ad60a
44	Tremolosaiten	9c678ef0f495c0aa5ccf4075fea1272e
45	String Pitchwagen	34b63dbbe696ee1b0aaa84bc0872ad6f
46	Orchester · Harfe	54d05d8a607e6431ff1e4f2f3ba5ec97
47	Pauke	34d7762b030f76ee821e1189ca91b03b
48	Instrumente für Streichinstrumente 1	c6dcf15a9081533bdb4bc87cccbd1025
49	Instrumente für Bogensaiteninstrumente 2	7d2abbaf418e04548b31b838ee99255e
50	Musikinstrumentklang des zusammengesetzten Bogenschnurinstruments 1	b265dc52941f2ace94f3d722b54da587
51	Kombiniertes Bogensaiteninstrument 2	e768ec03f167b5dad4348bb2236ea649
52	Chor (Stimme-Ar)	9f31cf4c38a605b65bcf16c40a5330ad
53	Menschliche Stimme (Stimme · wu)	e3f507a09cf52dbe892c641dc290d003
54	Synthetische menschliche Stimme	511d7334da2fbb642e16dc5264a6286d
55	Orchester · Hit	4103e5b0b4201b911e9432174179b469
56	Trompete	3070103412170667107114345b952212
57	Posaune	b564fabfbe56372eae15d891cdc32b51
58	Tuba	03a6367a04e50577d01735cd7cab3001
59	Mit einem Schalldämpfer · Trompete	cb12892a6bd2dabb90e6f0cb95797f97
60	Französisches Horn	32e2588408c1713d83242afa60b5090c
61	Blechblasinstrument · Ensemble	b98656a7ea500520ff3482576d1c3064
62	Synthetischer Klang · Messing 1	aa46ad22b771c6b9d952f5c7eced2d5d
63	Synthetischer Klang · Messing 2	adcbc18bd430d88ef629710e6c35ff28
64	Sopransaxophon	635254e440fe71d3b2406ab796809f5d
65	Altsaxophon	034670659801e01ed76850db9e8c937e
66	Tenorsaxophon	7ea55de67d667f6bc1f0f72d88c8615d
68	Oboe	14a016fb62723216082e9a41b147e5b8
69	Englisch Horn	eb61f777e54bc67598ed8db1bad2990d
70	Fagott	1da3f07ae4c141bacedb96e5b31566e4
71	Klarinette	f363d3018a33bf627828b4cd2cd53f8e
72	Piccolo	cbd326d4e11c0f24b992125cec01f6aa
73	Flöte	65e43de100bcd97a96a39ec90736977e
79	Okarina	36b645446d11abeef91cc26ae189be1c
80	Synth · Solo Timbre 1 (Rechteckwelle)	89ac7aa257f195caaab7eb4ac3208977
87	Synth · Solo Timbre 8 (Basis + Lead)	fd62eb1bf483fd974fa624d8dad80001
89	Synth · polyphoner Klang 2 (warm)	34d2111beddb02346592d88d2afc960d
90	Synth · polyphoner Sound 3 (Polyphonie)	91d379f76fb948e9ec1e2f982e3333ee
91	Synth · polyphoner Sound 4 (menschliche Stimme)	dc7dfd9e4fa18329a8b8c477b14bcb19
92	Synth · polyphoner Klang 5 (gebeugt)	13a5410a6987bd997c65faab625c0b44
94	Synth · polyphoner Klang 7 (Halo)	931e953c251f0d6d73c144705a1c1f5b
98	Synth · Effektsound 3 (Kristall)	43afe45cdce44a913840ddc2af1d1876
100	Synth · Effektton 5 (Helligkeit)	7ecd7677501115f28eb5d1f259456c12
103	Synth · Effektklang 8 (SF)	6218ed3920dfdf41f381ceff72ec03e4
104	Sitar	6abb04d5d20c876674361eaff7c7dd20
113	Agogo	b13f4c5ce9bb41f78a43c4df07427281
117	Melodischer Tam	6fd97c7db7c82a6908b9b6971eb0e22b
118	Synth Trommel	0a604f32c896c00cdedc7ebd9ca38d51
121	Atemgeräusche	62574709b4542139064846db526f66dc

//FE7JIF
24	Eine Gitarre	6434ea28e9ea43816eefb730a5efa65e
56	Trompete	c7ac78905fda5740231d0e0581ad503d
41	Stärke (schwach)	fb7a62d6f2556fcfcd634b7c4081b2a2
57	Posaune?	c684274d7c8c291211b71fa1e6ba7ca5
47	Pauke	5f764a66b15710251fb10c095a169829
4	Klavier (schwer / Bass)	d91a97fe0b1e3bbfb51c744a29b61296
4	Klavier (Gitarre)	d024a868df85feccac1ddfb715994315
60	Horn	1816d62e8478488bdc43709e2f85aeaa
21	Akkordeon	12b553afa87181c4e338d9ae28dca878
26	E-Gitarre	a339a0e8f66a3bc6750193f3c391ea36
19	Orgel	9360b719288cd2fd54c189b348bdaada
58	Tuba	39e40771ac170d620fcf8f4c8af04e07
	?	ab24b662de7f369fcdd621edbaedf0ac
73	Flöte	2adbdf5bac14c228a9b325b701eae561
	Klavier (schwach)	9cd4d1561ac2b11a081ff5ae449e22d4
	Cuaia?	0412e94eeffa054e656331fedf0daf64
60	Französisch Horn?	8330a4ce239bd802da2e78ed9b17a424
71	Klarinette?	cb94df3e8ebde43bdf2735e6013facdd
68	Oboe?	16ad5a78df5fd449134e08584da5e239
40	Stärke?	8b2f5b71a3bf7d9a1f3a5c7a43a003ce
10	Spieluhr?	a9d50aa37c66ecd8db2da45f5e9af37b
24	E-Gitarre?	b56b9fcd8a97fb3a71eac98160db8d34
	Chorus?	d504eb8588c5dfea941970f1a921cb17
	Chorus?	c51fffb7ead60513e1b858c9bb873568
55	Orchester?	69eaa865f6dc087ac8aea6563e6a1f8a
36	Schlagbasis	d0e66092e9c272bd26e38abb7bf59d10
55	Orchesterschlag	bba039de72955a6ead386e965a7d3781
68	Oboe	a4fabe5660b59215188bc91cbb0d8629
62	Messing (schwach)?	f24a2b42e49d8bd478752fc4f2d0cc57
71	Klarinette (hoch)?	9b25806a576ec774b6f19af320b4419c
20	Reed-Orgel?	14338f21aff551da86c8f9c9257845cf
	Softwave	264cbc56e7f3de6a66f8e9f76675120c
	?	006bdb5a2211cbf728f57ee2d00e6851
36	Schlag Gitarre	a0b077828dc1092bab059159518897f9
100	Helligkeitssystem?	4e5ea0fc0919ec38ab08b72aa7cea0ec
	?	bba37023994901b2776210b9f184c50c
100	Helligkeit (schwer)	2a433c78cc705c1123f77fabbae40782
74	Flötenflöte?	656996b47c988d9ac789f5aa28618ccd
26	Eine Gitarre?	44557a74582e01c9442d62c8c52655bd
26	Eine Gitarre?	36febb500a853cf51642f1eac34047c6
	?	863e32ef4b83f4f4d8aa676bfb3c64b1
63	Messing?	c4db34fa0d8aa837b7aa1fb953e7b8be
8	Harfe aus Metall	7186cec5187478a754035e04b2b254fa
29	Overdrive-Gitarre?	f18bfa0680323120504ec116f3a4064a
	× Schusswaffe	6276e8a13ae7dc9918788c24d1038d8e
	Rechteckige Welle	ec3860afc4943021f0416877097d22b9
	Slap Gitarre (abgeschnitten)	fc79008a8d5d443eb0c391b5b1c714cb
	Slap Gitarre (abgeschnitten)	27409df8b068c1e1d709923fbc374e56
?	e51839eb91652c31cfe7bf98c269b6c8
8	Harfe aus Metall	ec01afbf4c959072c9c3c2f76097e287
60	Französisch Horn?	437423e6ba1a57ca4c6cfeb19ad14506
	×	51fd2e90b98cd46dddf9cc8a66ce566e
11	Piano + Chorus (Stärke Gitarre?) Tigo?	400920bb8b00da757639e9d466fd7741
56	Trompete	6f3b4f7d82e5f983b2ed996c23e6feac
×	64783cd1c137efa14b9478e74772e78a
63	Messing	a85319ebbe0a3ad3906ee2a62b98ab00
57	Posaune?	99f92ccc19d95ea3af5b4a653be24c5f
26	Eine Gitarre	5f25792163b98a8d4931ef7f476f556a
	Was?	6d8719c89acb4ea109922fc4fea260f2
	Chor + Klavier	9cf4a1aa616b0e4e08c640cf2e9cbf01
68	Oboe?	28594b5c2857733357acd1cad0f603f1
